Date,AAPL,BA,CVX,JNJ,MCD,MMM,MRK,NIKE,PFE
26.08.1980,0.095495,2.301159,2.164946,0.652065,0.589605,2.097589,0.607554,0.129549,0.241464
27.08.1980,0.095495,2.271939,2.118808,0.637933,0.579156,2.075461,0.601749,0.129549,0.235749
28.08.1980,0.095495,2.228107,2.093964,0.639952,0.571693,2.048910,0.597879,0.129549,0.235749
29.08.1980,0.095495,2.220803,2.083318,0.640961,0.571693,2.048910,0.590666,0.129549,0.235749
02.09.1980,0.095495,2.235413,2.072670,0.644998,0.579156,2.048910,0.595540,0.129549,0.240707
03.09.1980,0.095495,2.279244,2.101062,0.646008,0.589605,2.088739,0.602363,0.129549,0.249356
04.09.1980,0.095495,2.271939,2.076219,0.636923,0.567216,2.102014,0.609185,0.129549,0.249356
05.09.1980,0.095495,2.250024,2.079767,0.630867,0.565722,2.053335,0.607236,0.129549,0.246473
08.09.1980,0.095495,2.198887,2.008787,0.623801,0.559752,2.022359,0.602363,0.129549,0.243590
09.09.1980,0.095495,2.279244,2.044277,0.627839,0.556767,2.009082,0.600413,0.129549,0.246473
10.09.1980,0.095495,2.271939,2.072670,0.631877,0.559752,2.040061,0.603337,0.129549,0.246473
11.09.1980,0.095495,2.271939,2.065572,0.636923,0.558259,2.097589,0.605287,0.129549,0.246473
12.09.1980,0.095495,2.250024,2.044277,0.637933,0.559752,2.079887,0.598464,0.129549,0.249356
15.09.1980,0.095495,2.257330,2.072670,0.640961,0.570200,2.062185,0.596514,0.129549,0.254400
16.09.1980,0.095495,2.257330,2.097514,0.639952,0.588112,2.097589,0.609185,0.129549,0.265931
17.09.1980,0.095495,2.396128,2.140101,0.652065,0.600054,2.132990,0.619907,0.129549,0.268093
18.09.1980,0.095495,2.381518,2.108162,0.648027,0.591098,2.159541,0.617958,0.129549,0.270976
19.09.1980,0.095495,2.366907,2.122357,0.648027,0.595575,2.199371,0.625755,0.129549,0.276742
22.09.1980,0.095495,2.432655,2.122357,0.667205,0.600054,2.212647,0.633553,0.129549,0.279624
23.09.1980,0.095495,2.359604,2.118808,0.678308,0.595575,2.159541,0.629654,0.129549,0.276742
24.09.1980,0.095495,2.381518,2.186240,0.673261,0.592591,2.155117,0.633553,0.129549,0.270976
25.09.1980,0.095495,2.344993,2.182691,0.668214,0.582142,2.150693,0.635502,0.129549,0.268093
26.09.1980,0.095495,2.279244,2.147200,0.659130,0.570200,2.119715,0.634528,0.129549,0.265931
29.09.1980,0.095495,2.250024,2.111710,0.647017,0.570200,2.088739,0.614059,0.129549,0.257283
30.09.1980,0.095495,2.250024,2.150751,0.654083,0.573186,2.110864,0.621856,0.129549,0.263048
01.10.1980,0.095495,2.315770,2.264322,0.657111,0.573186,2.097589,0.620882,0.129549,0.263048
02.10.1980,0.095495,2.323076,2.299813,0.655092,0.565722,2.079887,0.621856,0.129549,0.263048
03.10.1980,0.095495,2.352298,2.399187,0.663167,0.573186,2.088739,0.619907,0.129549,0.270976
06.10.1980,0.095495,2.396128,2.463069,0.674270,0.571693,2.075461,0.625755,0.129549,0.276742
07.10.1980,0.095495,2.366907,2.470169,0.675280,0.564230,2.035634,0.621856,0.129549,0.276742
08.10.1980,0.095495,2.352298,2.473718,0.680327,0.567216,2.017933,0.624781,0.129549,0.273859
09.10.1980,0.095495,2.315770,2.388542,0.670233,0.561244,1.978106,0.617958,0.129549,0.270976
10.10.1980,0.095495,2.301159,2.424032,0.666196,0.550796,1.964830,0.610160,0.129549,0.270976
13.10.1980,0.095495,2.315770,2.491463,0.661149,0.558259,2.013507,0.613084,0.129549,0.270976
14.10.1980,0.095495,2.323076,2.548249,0.652065,0.558259,1.995806,0.615034,0.129549,0.270976
15.10.1980,0.095495,2.381518,2.576641,0.649036,0.561244,2.017933,0.616008,0.129549,0.270976
16.10.1980,0.095495,2.191581,2.548249,0.642980,0.553781,1.986956,0.611135,0.129549,0.268093
17.10.1980,0.095495,2.191581,2.512758,0.643989,0.550796,1.982530,0.611135,0.129549,0.263048
20.10.1980,0.095495,2.176971,2.583738,0.633895,0.550796,1.986956,0.608211,0.129549,0.260166
21.10.1980,0.095495,2.074697,2.583738,0.629858,0.546318,1.991381,0.613084,0.129549,0.254400
22.10.1980,0.095495,2.082003,2.590838,0.634905,0.547810,2.004657,0.614059,0.129549,0.251517
23.10.1980,0.095495,2.016254,2.498562,0.621782,0.531391,1.969255,0.592616,0.129549,0.251517
24.10.1980,0.095495,2.023561,2.523404,0.618754,0.528406,1.955979,0.580919,0.129549,0.251517
27.10.1980,0.095495,2.038171,2.470169,0.611689,0.533803,1.947129,0.586768,0.129549,0.246473
28.10.1980,0.095495,2.060086,2.470169,0.622792,0.532304,1.964830,0.592616,0.129549,0.251517
29.10.1980,0.095495,2.060086,2.409833,0.625820,0.529305,2.000232,0.588717,0.129549,0.251517
30.10.1980,0.095495,2.060086,2.381440,0.657111,0.524807,1.964830,0.570198,0.129549,0.249356
31.10.1980,0.095495,2.103919,2.395637,0.684365,0.530805,1.978106,0.582869,0.129549,0.254400
03.11.1980,0.095495,2.184276,2.477265,0.695468,0.538302,2.031208,0.592616,0.129549,0.254400
05.11.1980,0.095495,2.264633,2.534053,0.686383,0.547298,2.079887,0.604312,0.129549,0.260166
06.11.1980,0.095495,2.190626,2.509210,0.668214,0.529305,2.044485,0.594565,0.129549,0.260166
07.11.1980,0.095495,2.161023,2.526954,0.659130,0.532304,2.035634,0.594565,0.129549,0.260166
10.11.1980,0.095495,2.131421,2.576641,0.661149,0.527806,2.026784,0.592616,0.129549,0.257283
11.11.1980,0.095495,2.190626,2.647624,0.666196,0.529305,2.004657,0.594565,0.129549,0.254400
12.11.1980,0.095495,2.338641,2.754095,0.667205,0.529305,2.031208,0.596514,0.129549,0.257283
